TT        PID        AT        CT        IO_D        WT      RT      TRT
18        85        16        47         0         2         0         2
47        81        11        54         0         0         0        36
47        84        15        49         0        32         0        32
47        86        20        43         0        27         0        27
50        82        12        52         0         0         0        38
50        83        14        51         0        36         0        36
50        87        22        41         0        28         0        28
50        88        48        15         0         2         0         2
52         5        25        27         0         0         0        27
74        89        72       146         0         2         0         2
103        19        74        93         0        29         0        29
104        20        77       108         0        27         0        27
120        91       107        12         0        13         0        13
120        93       109        10         0        11         0        11
120        23        87        20         0        13         0        33
126        90       107        27         0        19         0        19
126        92       109        25         0        17         0        17
126        94       121        23         0         5         0         5
126        95       123        21         0         3         0         3
135        25       100        35         0         0         0        35
136        96       125        26         0        11         0        11
136        97       126        18         0        10         0        10
136        98       127        24         0         9         0         9
136        99       128        16         0         8         0         8
145        14        63        34         0        48        57        82
190         8        41        90        10        59         0       149
207       102       187        19         0        20        20        20
207       103       188        18         0        19         0        19
207        48       187        20         0         0         0        20
216       100       177       107         0        39         0        39
216       101       179       105         0        37         0        37
246         4        20        81         5       145         0       226
271       104       192        90         0        16         0        79
271       105       208        89         0        63         0        63
271       106       209        88         0        62         0        62
280       107       248       133         0        32         0        32
280       108       250       131         0        30         0        30
280       109       274       192         0         6         0         6
280        50       200        35         0        77         0        80
296        63       254        92         0        22         0        42
297        64       263        34         0         0         0        34
302        66       268       199         0         0         0        34
302       111       281       185         0        21         0        21
302       110       275       191         0        27         0        27
307        73       287        20         0         0         0        20
314       112       304       170         0        10         0        10
314       113       305       169         0         9         0         9
329       114       325        26         0         4         0         4
329       115       326        25         0         3         0         3
334        77       310        56         0        24         0        24
340        79       320        81         0        20         0        20
350       116       333        16         0        17         0        17
350       117       335        14         0        15         0        15
350        55       225        27         0        98         0       125
351         2        10        56         7       285         0       341
369       118       351        79         0        18         0        18
369       119       352        78         0        17         0        17
416       120       369        61         0        47         0        47
416       121       370        60         0        46         0        46
448        31       130       107         0       211         0       318
468        39       163        34         0       271       285       305
482        27       110        56         0       316        25       372
488        57       239        73         3       176         0       249
498       122       381       149         0       117         0       117
498       123       384       146         0       114         0       114
498       124       421        39         0        77         0        77
503        49       195        40         3       268       293       308
510       126       490        19         0        20        20        20
510       127       495        14         0        15         0        15
510       125       483        27         0         0         0        27
511       128       499        11         0        12         0        12
511        74       295        40         0       176         0       216
535       129       511        59         0        24         0        24
551        80       325        27         0       199         0       226
571       131       514        56         0        57        57        57
571       132       516        54         0        55         0        55
571       130       512        58         0         1         0        59
571        32       139        73         0       359       412       432
585        75       300        35         0       250         0       285
590        37       150        80         2       360       435       440
607       133       571        35         0        36         0        36
607        47       183       127         0       297         0       424
611        12        50        80         2       481       540       561
612        67       269       150         0       193         0       343
686         3        15       134         0       537        37       671
687        45       177       108         0       402         0       510
770        62       250        80         2       440       253       520
786        13        54        92         0       640        91       732
802        54       220        81         0       501         0       582
837        52       210        56         7       571       477       627
875        15        65        88         0       722         0       810
883        38       154        92         0       637       328       729
887        30       125        27         0       735       758       762
895        24        95        40         0       760       780       800
912        40       165        88        22       659       730       747
914        59       243       121         0       550       559       671
974        65       265        88         0       621         0       709
1068        71       280       183         0       605       634       788
1092         7        39        73         0       980      1029      1053
1097        29       120        81         5       896       972       977
1163        70       277       108         0       778         0       886
1179        58       241        90         0       848       856       938
1183        69       274        93         0       816       889       909
1199        72       283       127         0       789       900       916
1227        78       315       134         0       778         0       912
1267        33       141        90        10      1036       771      1126
1271        41       168       199        13       904         0      1103
1302         1         1       200        20      1101         0      1301
1314        44       174        93        14      1047         0      1140
1331        11        48       134         4      1149         0      1283
1343         9        43       121         9      1179         0      1300
1345        56       230       107         6      1008      1101      1115
1346        68       271       161        19       914         0      1075
1351         6        30       107         6      1214      1313      1321
1354        61       248       134         0       972       522      1106
1360        34       143       121         9      1096      1208      1217
1377        53       215       134         0      1028      1130      1162
1397        26       101       200         0      1096      1276      1296
1415        10        45       200         0      1170      1154      1370
1422        42       169       150        11      1103       517      1253
1456        21        80       183         0      1193         0      1376
1458        36       148       134         4      1176       464      1310
1479        46       180       183         6      1116         0      1299
1520        16        68       199         0      1253         0      1452
1527        22        83       127         0      1317      1437      1444
1543        60       245       200         0      1098         0      1298
1558        35       145       200         0      1213      1252      1413
1559        28       115       134         0      1310      1443      1444
1563        18        71       161         0      1331      1385      1492
1563        17        69       150        11      1344      1474      1494
1583        51       201       200        20      1182      1362      1382
1589        43       171       161         0      1257      1412      1418
1593        76       301       200        20      1092      1288      1292

Processes: 133
Avg WT = 390.143      Avg RT = 240.195      Avg TRT = 450.383
Migration %:     RTF= 83.4586%,      MaxW= 855.639%
Work Steal%: 606.767%
Forked Process: 39.8496%
Killed Process: 6.76692%
Processes Finished before deadline: 94%
Processsors: 14 [ 3 FCFS, 4 SJF, 2 EDF, 5 RR ]
 ******** Processors Load *********
p1= 0.445735%,	
p2= 0.474116%,	
p3= 0.340562%,	
p4= 1.33888%,	
p5= 1.18863%,	
p6= 1.40231%,	
p7= 1.03671%,	
p8= 1.24873%,	
p9= 0.844727%,	
p10= 1.41901%,	
p11= 1.1302%,	
p12= 1.06843%,	
p13= 0.859752%,	
p14= 0.702826%,	

 ********* Processors Utiliz ********** 
p1= 20.7459%,	
p2= 21.2257%,	
p3= 16.5049%,	
p4= 91.2401%,	
p5= 85.9903%,	
p6= 90.3226%,	
p7= 85.5372%,	
p8= 85.0967%,	
p9= 76.5507%,	
p10= 91.0064%,	
p11= 83.7871%,	
p12= 77.2947%,	
p13= 62.1981%,	
p14= 50.8454%,	

AvgUtilization = 67.0247%
