TT        PID        AT        CT        IO_D        WT      RT      TRT
20         3        15       134         0         0         0         5
25         4        20        81         0         0         0         5
30         5        25        27         0         0         0         5
44        81        28       192         0         2         0        16
44        83        43       177         0         1         0         1
55        82        39       182         0        16         0        16
87        84        84         2         0         3         0         3
87         2        10        56        20        21         0        77
88        15        65        88         0        23         0        23
91        16        68       199         0        23         0        23
100        17        69       150         0        31         0        31
102        18        71       161         0        31         0        31
103        19        74        93         0        29         0        29
104        20        77       108         0        27         0        27
127        88       105       165         0         1         0        22
127        89       117       153         0        10         0        10
127        85        97        37         0        30         0        30
127        86       101        33         0        26         0        26
165        31       130       107         0        35         0        35
170        87       104       166         0        66         0        66
170        90       128       142         0        42         0        42
195        91       191        87         0         4         0         4
241        23        87        20         0       134         0       154
252        92       243       122         0         9         0         9
252        93       249       132         0         3         0         3
254        45       177       108         0        77         0        77
255        46       180       183         0        75         0        75
265        47       183       127         0        82         0        82
270        48       187        20         0        83         0        83
275        49       195        40         0        55         0        80
280        50       200        35         0        80         0        80
283        51       201       200         0        82         0        82
285        53       215       134         0        70         0        70
285        54       220        81         0        65         0        65
292        59       243       121         0        49         0        49
294        61       248       134         0        40         0        46
295        62       250        80         0        45         0        45
296        63       254        92         0        42         0        42
298        64       263        34         0        35         0        35
300        65       265        88         0        35         0        35
302        66       268       199         0        34         0        34
314        67       269       150         0        45         0        45
334        94       292        41         0        42         0        42
334        97       333         0         0         1         0         1
334        13        54        92         0       188       187       280
335        78       315       134         0         0         0        20
335        96       328       120         0         7         0         7
335        55       225        27         0        83         0       110
335        75       300        35         0         0         0        35
346        30       125        27         0       194       210       221
361        95       326        76         0        35         0        35
361        98       334        68         0        27         0        27
361        99       335       165         0        26         0        26
361       100       335        26         0        26         0        26
361       101       342        19         0        19         0        19
361       102       350       150         0        11         0        11
369       103       367        35         0         2         0         2
394       104       378        24         0        16         0        16
394       105       389        13         0         5         0         5
438        80       325        27         0        86         0       113
460        21        80       183        21       197         7       380
483       107       470        20         0         0         0        13
483       108       471        19         0        12         0        12
483       106       452        30         0         8         8        31
483        77       310        56         7       117       128       173
538       110       493        44         0        45        45        45
538       111       497        40         0        41         0        41
538       109       486        52         0         0         0        52
589       112       576        19         0         0         0        13
589       113       577        17         0        12         0        12
596        52       210        56         0       330         0       386
605        24        95        40         0       470       501       510
681        26       101       200         0       380         0       580
687       116       680         6         0         7         0         7
687        14        63        34         0       590         0       624
696       114       650        45         0        46         0        46
696       115       659        36         0        37         0        37
696        58       241        90         0       365       364       455
738       117       705        22         0        33         0        33
738       118       736        85         0         2         0         2
738         7        39        73         0       626       642       699
784       119       782         1         0         2         0         2
784        27       110        56         0       618         0       674
818        57       239        73         0       506         0       579
825       121       822         2         0         3         0         3
825        74       295        40         0       490       489       530
829       120       821       111         0         8         0         8
888         8        41        90        10       757       655       847
937       123       924       176         0        13         0        13
937       125       932        72         0         5         0         5
986       122       910        47         0        76         0        76
986       124       931       169         0        55         0        55
986       126       937       163         0        49         0        49
1005        28       115       134         0       756       572       890
1024       129      1015         8         0         9         0         9
1024       127       998        26         0         0         0        26
1025       128       999        25         0        26        25        26
1025        32       139        73         3       813       599       886
1037       130      1031        23         0         6         0         6
1037       131      1034       105         0         3         0         3
1055       132      1039        15         0        16         0        16
1055        39       163        34         0       858         0       892
1106       135      1100         5         0         6         0         6
1106        79       320        81         0       705         0       786
1114        29       120        81         5       913         0       994
1127       136      1116        10         0        11         0        11
1127        73       287        20         0       820       819       840
1142       133      1066        75         0        76         0        76
1142       134      1086        55         0        56         0        56
1142         6        30       107         0      1005      1025      1112
1196        25       100        35         0      1061         0      1096
1198       140      1195        39         0         1         0         3
1235       139      1149        85         0        86         0        86
1235        38       154        92         0       989       988      1081
1246       137      1128        74         0       108       107       118
1246       138      1142        60         0       104         0       104
1320       141      1267        88         0        53         0        53
1320       142      1284        71         0        36         0        36
1363       145      1345        17         0        18         0        18
1363       146      1353         9         0        10         0        10
1363        40       165        88         0      1110       949      1198
1405       144      1340        81         0        65         0        65
1422       143      1334        87         0        88        88        88
1422       149      1408        13         0        14         0        14
1422        69       274        93         0      1055         0      1148
1443        36       148       134         4      1161         0      1295
1444       148      1390        88         0        54         0        54
1444       151      1440       140         0         4         0         4
1488       153      1464        23         0        24         0        24
1488       154      1478         9         0        10         0        10
1488        34       143       121         9      1224       192      1345
1490       147      1382        96         0       108         0       108
1490       150      1415       165         0        75         0        75
1510       155      1495        85         0        15         0        15
1528       156      1510        17         0        18         0        18
1528       157      1524         3         0         4         0         4
1528        33       141        90        10      1297      1347      1387
1564        11        48       134         4      1382         0      1516
1577       152      1461       119         0       116         0       116
1577       158      1531       121         0        46         0        46
1598       159      1571        26         0        27         0        27
1598       160      1583        14         0        15         0        15
1598        37       150        80         2      1368      1046      1448
1712       164      1666        45         0        46        46        46
1712       165      1689        22         0        23         0        23
1712       163      1658        54         0         0         0        54
1753       166      1718        70         0        35         0        35
1776       167      1745       156         0        31         0        31
1776       161      1602       174         0       174         0       174
1776       162      1622       154         0       154         0       154
1776       168      1757       144         0        19         0        19
1855       173      1852         2         0         3         0         3
1855       174      1853         1         0         2         0         2
1855        72       283       127         0      1445         0      1572
1895       169      1809       120         0        86         0        86
1895       170      1815       114         0        80         0        80
1895       175      1870        78         0        25         0        25
1929       171      1833        95         0        96         0        96
1929       172      1836        92         0        93         0        93
1929       176      1877        71         0        52         0        52
1940        12        50        80         0      1810      1514      1890
1969         1         1       200        37      1768      1939      1968
1982        71       280       183         0      1519      1318      1702
2001       179      1994         6         0         7         0         7
2001         9        43       121         0      1837      1939      1958
2008       178      1969        65         0        39         0        39
2015       180      1995        19         0        20         0        20
2015       177      1903        45         0        67        66       112
2024       181      2007        16         0        17         0        17
2024        68       271       161        19      1592      1730      1753
2035        76       301       200         0      1534      1062      1734
2087       182      2041        53         0        46         0        46
2087       183      2054        40         0        33         0        33
2087       184      2067        45         0        20         0        20
2087       185      2070        42         0        17         0        17
2093       186      2088        24         0         5         0         5
2113       187      2103         9         0        10         0        10
2113        35       145       200         0      1768      1879      1968
2142       189      2141         0         0         1         0         1
2142        70       277       108         0      1757      1738      1865
2174       188      2119        79         0        55         0        55
2184        43       171       161         0      1852         0      2013
2198       191      2153        44         0        45        45        45
2198       192      2164        33         0        34         0        34
2198       190      2149        49         0         0         0        49
2214       193      2189       103         0        25         0        25
2214       194      2190       102         0        24         0        24
2235       195      2232         2         0         3         0         3
2235        56       230       107        12      1898      1883      2005
2249        22        83       127         0      2039      2152      2166
2255        44       174        93         0      1988      1681      2081
2271       196      2262        89         0         9         0         9
2271        10        45       200         0      2026      1990      2226
2301       197      2290        72         0        11         0        11
2392       200      2363        28         0        29         0        29
2392       203      2377        14         0        15         0        15
2392        60       245       200         0      1947      2010      2147
2421       201      2370        78         0        51         0        51
2421       205      2405        49         0        16         0        16
2424       202      2373        75         0        51         0        51
2424       204      2403        51         0        21         0        21
2449       198      2353        95         0         1         0        96
2482        42       169       150        11      2163      2223      2313
2487       206      2481        53         0         0         0         6
