TT        PID        AT        CT        IO_D        WT      RT      TRT
49        61         3       199         0         0         0        46
49        64         8        50         0        41         0        41
49        65         8       193         0        41         0        41
56        23        35        20         0         1         0        21
59        67        50         8         0         9         0         9
59        66        11        47         0        48         0        48
59         2         3        56         0         0         0        56
73        63         8       194         0        65         0        65
73        70        64       193         0         9         0         9
74         5         7        27         0        40         0        67
78        69        60       197         0        18         0        18
78        73        75         4         0         3         0         3
87        62         3       198         0        57        56        84
87        68        60       142         0        27         0        27
87        71        69        10         0        18         0        18
87        72        73       184         0        14         0        14
87        74        78       179         0         9         0         9
95        36        65        30         0         0         0        30
99        75        85       106         0        14         0        14
99        76        87       104         0        12         0        12
102        77        91        10         0        11        11        11
102        78        93         8         0         9         0         9
102        41        90        12         0         0         0        12
109        34        54        55         0         0         0        55
127        27        40        27         0        60        69        87
130        17        24       150         0       106         0       106
133        81       109        23         0        24         0        24
133        82       113        19         0        20         0        20
133        24        37        40         3        56        37        96
135         8        13        90        10        32         0       122
141        79       108       139         0        33         0        33
143        47       120        23         0         0         0        23
146        80       109       138         0         1         0        37
146        83       114       133         0        32         0        32
146        84       116       131         0        30         0        30
163        25        37        35         0        91        90       126
165        89       162         2         0         3         0         3
165        26        38        66        16        61        57       127
165        14        21        34         0       110       114       144
178        87       152        32         0        26         0        26
178        88       154        30         0        24         0        24
178        90       167        68         0        11         0        11
184        52       145        39         0         0         0        39
198        85       138        59         0        60         0        60
198        86       150        47         0        48         0        48
198         4         5        81         0       112         0       193
200        30        45       169         0       155         0       155
205        91       169        66         0        36         0        36
205        93       192        42         0        13         0        13
213        42        95        25         0        93         0       118
217        98       216         0         0         1         0         1
217        38        75        45        15        97       138       142
223        92       190        45         0         0         0        33
223        94       194        40         0        29         0        29
223        95       200        92         0        23         0        23
231        96       207        27         0        24         0        24
231        97       209        83         0        22         0        22
271        99       219        51         0        52         0        52
271       100       220        50         0        51         0        51
271        43       100        67         0       104       117       171
276       101       230        62         0        46         0        46
284        54       155        67         0        62         0       129
290       102       236       134         0        54         0        54
290       103       237       133         0        53         0        53
303        35        60        20         0       223         0       243
307       108       304         2         0         3         0         3
307        33        51        53         0       203       252       256
320        32        48        70         0       202       117       272
330       107       297        73         0        33         0        33
344       104       264        79         0        80         0        80
344       105       265        78         0        79         0        79
344        57       170       157        12        17         0       174
354       109       308        54         0        46         0        46
354       110       313        49         0        41         0        41
363       106       294        76         0        69         0        69
365       111       345       100         0         1         0        20
365       112       347        98         0        18         0        18
365       113       352        93         0        13         0        13
365       114       358        87         0         7         0         7
380        55       160        75         0       145         0       220
390        53       150        58         0       182         0       240
429       118       402        26         0        27         0        27
429       120       407        21         0        22         0        22
429       116       401        28         0         0         0        28
430       119       405        24         0        25         0        25
430       115       401        29         0         0         0        29
431       117       402        28         0        29         0        29
431        48       125        48         0       258        18       306
435        60       185        77         0       173        99       250
437       123       435       129         0         2         0         2
440       122       433        48         0         7         0         7
440       124       436        45         0         4         0         4
440       125       436        60         0         4         0         4
462       129       460        44         0         2         0         2
474       121       431       133         0        43         0        43
474       126       438        58         0        36         0        36
474       127       445        51         0        29         0        29
481        18        25       161         0       295         0       456
484        44       105        85         0       294         0       379
485         7        10        73         3       402       474       475
488        45       110        98         0       280         0       378
497       128       460        43         0        37         0        37
497       130       461        43         0        36         0        36
497       131       463        41         0        34         0        34
497       133       489         7         0         8         0         8
497       134       489        82         0         8         0         8
497       132       476        20         0        21         0        21
497        22        34       127         0       336       395       463
505        20        27       108         0       370         0       478
516       138       511       120         0         0         0         5
516       139       511       119         0         5         0         5
516       140       513       117         0         3         0         3
521        37        70        50         0       401       411       451
523         1         3       200         0       320         0       520
524        12        19        80         0       425       466       505
527        31        46        65         0       416       477       481
557        15        21        88        22       448       144       536
561        56       165        68         0       328       362       396
564       142       528        93         0        36         0        36
564       143       532        89         0        32         0        32
569       137       504       127         0        65         0        65
588       135       491        80         0        97         0        97
588       136       497        74         0        91         0        91
588       141       524       107         0        64         0        64
588       144       570        61         0        18         0        18
599        29        43       101         0       455       445       556
600       147       596         3         0         4         0         4
600         9        14       121         9       465         0       586
603         3         5       134         0       464       430       598
603        59       180       103         0       320        91       423
608       149       605         2         0         3         0         3
608       150       607         0         0         1         0         1
608        13        19        92         0       497         0       589
612        28        40        70         3       502       563       572
623       148       605        48         0        18         0        18
623       152       609        28         0        14         0        14
638       154       628         9         0        10         0        10
638       153       610        27         0        28         0        28
638        10        15       200         0       423       593       623
654       151       608        45         0        46         0        46
654        40        85       110         0       459       518       569
659       145       585        73         0        74        74        74
659       146       588        70         0        71         0        71
659        16        23       199         0       437         0       636
660        46       115       100         0       445       446       545
665       155       642        22         0        23        23        23
665       157       643        21         0        22         0        22
665        50       135       209         5       321         0       530
667       158       647        35         0        20         0        20
667        19        25        93         0       549       499       642
668         6         7       107        12       554       660       661
683       160       666        38         0        17         0        17
683       161       667        37         0        16         0        16
683       159       666        39         0        -1         0        17
683       162       671        34         0        12         0        12
683       156       642        40         0        23         0        41
683        51       140       154         0       389       357       543
720       164       690        67         0         0         0        30
720       166       695        61         0        25         0        25
729        39        80       100         0       549       532       649
757       167       699        57         0        58         0        58
757       168       700        56         0        57         0        57
757       163       689        68         0         0         0        68
758       169       724        33         0        34         0        34
758        58       175       185         0       398         0       583
777       165       693        63         0        65        64        84
777       174       767        53         0        10         0        10
785        11        17       134         0       634       643       768
789        49       130       149         0       510         0       659
820       172       761        58         0        59        59        59
820       173       766        53         0        54         0        54
820       171       760        60         0         0         0        60
821       176       777        43         0        44         0        44
821       175       771        49         0        50        50        50
821       170       758        62         0         1         0        63
825        21        30       183         0       612         0       795

Processes: 176
Avg WT = 108.153      Avg RT = 56.5398      Avg TRT = 140.21
Migration %:     RTF= 8.52273%,      MaxW= 4.54545%
Work Steal%: 10.2273%
Forked Process: 65.9091%
Killed Process: 1.13636%
Processes Finished before deadline: 80%
Processsors: 10 [ 3 FCFS, 4 SJF, 1 EDF, 2 RR ]
 ******** Processors Load *********
p1= 2.5773%,	
p2= 2.4071%,	
p3= 2.52462%,	
p4= 2.50841%,	
p5= 2.42736%,	
p6= 1.98565%,	
p7= 2.10317%,	
p8= 2.29769%,	
p9= 2.35847%,	
p10= 1.92892%,	

 ********* Processors Utiliz ********** 
p1= 90.3409%,	
p2= 84.375%,	
p3= 85.8127%,	
p4= 85.2617%,	
p5= 89.2697%,	
p6= 71.8475%,	
p7= 74.8918%,	
p8= 79.3007%,	
p9= 82.6705%,	
p10= 65.5647%,	

AvgUtilization = 80.9335%
